AD SP T0,AD SP T0,AD SP T0,AD DE T0,AD DE T0,AD DE T0,AD SP T3,AD SP T3,AD SP T3,AD DE T3,AD DE T3,AD DE T3
AD SP T6,AD SP T6,AD SP T6,AD DE T6,AD DE T6,AD DE T6,AD SP T9,AD SP T9,AD SP T9,AD DE T9,AD DE T9,AD DE T9
AD SP T12,AD SP T12,AD SP T12,AD DE T12,AD DE T12,AD DE T12,AD SP T15,AD SP T15,AD SP T15,AD DE T15,AD DE T15,AD DE T15
AD SP T18,AD SP T18,AD SP T18,AD DE T18,AD DE T18,AD DE T18,AD SP T21,AD SP T21,AD SP T21,AD DE T21,AD DE T21,AD DE T21
OS SP T0,OS SP T0,OS SP T0,OS DE T0,OS DE T0,OS DE T0,OS SP T3,OS SP T3,OS SP T3,OS DE T3,OS DE T3,OS DE T3
OS SP T6,OS SP T6,OS SP T6,OS DE T6,OS DE T6,OS DE T6,OS SP T9,OS SP T9,OS SP T9,OS DE T9,OS DE T9,OS DE T9
OS SP T12,OS SP T12,OS SP T12,OS DE T12,OS DE T12,OS DE T12,OS SP T15,OS SP T15,OS SP T15,OS DE T15,OS DE T15,OS DE T15
OS SP T18,OS SP T18,OS SP T18,AD DE T18,AD DE T18,AD DE T18,OS SP T21,OS SP T21,OS SP T21,OS DE T21,OS DE T21,OS DE T21
